painting,paintingLabel,depicts,depictsLabel
http://www.wikidata.org/entity/Q22084611,Wzburzone morze z wrakiem statku,http://www.wikidata.org/entity/Q177597,okręt
http://www.wikidata.org/entity/Q22084611,Wzburzone morze z wrakiem statku,http://www.wikidata.org/entity/Q852190,wrak
http://www.wikidata.org/entity/Q22084681,Żołnierze rewidujący bagaże,http://www.wikidata.org/entity/Q467,kobieta
http://www.wikidata.org/entity/Q22084681,Żołnierze rewidujący bagaże,http://www.wikidata.org/entity/Q2668288,Kufer
http://www.wikidata.org/entity/Q22084681,Żołnierze rewidujący bagaże,http://www.wikidata.org/entity/Q4991371,żołnierz
http://www.wikidata.org/entity/Q22085031,Martwa natura z naczyniami,http://www.wikidata.org/entity/Q57216,talerz
http://www.wikidata.org/entity/Q22085031,Martwa natura z naczyniami,http://www.wikidata.org/entity/Q80228,butelka
http://www.wikidata.org/entity/Q22085031,Martwa natura z naczyniami,http://www.wikidata.org/entity/Q154038,garnek
http://www.wikidata.org/entity/Q22085035,Pejzaż z antycznymi ruinami i Chrystusem z uczniami w drodze do Emaus,http://www.wikidata.org/entity/Q302,Jezus Chrystus
http://www.wikidata.org/entity/Q22085035,Pejzaż z antycznymi ruinami i Chrystusem z uczniami w drodze do Emaus,http://www.wikidata.org/entity/Q109607,ruiny
http://www.wikidata.org/entity/Q22085038,Święta Elżbieta Węgierska modląca się o nawrócenie Bertholda von Leinbach,http://www.wikidata.org/entity/Q8441,mężczyzna
http://www.wikidata.org/entity/Q22085038,Święta Elżbieta Węgierska modląca się o nawrócenie Bertholda von Leinbach,http://www.wikidata.org/entity/Q38933,gorączka
http://www.wikidata.org/entity/Q22085038,Święta Elżbieta Węgierska modląca się o nawrócenie Bertholda von Leinbach,http://www.wikidata.org/entity/Q40953,modlitwa
http://www.wikidata.org/entity/Q22085038,Święta Elżbieta Węgierska modląca się o nawrócenie Bertholda von Leinbach,http://www.wikidata.org/entity/Q159862,Elżbieta z Turyngii
http://www.wikidata.org/entity/Q22085048,Kwiaty w wazonie,http://www.wikidata.org/entity/Q506,kwiat
http://www.wikidata.org/entity/Q22085048,Kwiaty w wazonie,http://www.wikidata.org/entity/Q6408,żabowate
http://www.wikidata.org/entity/Q22085048,Kwiaty w wazonie,http://www.wikidata.org/entity/Q191851,wazon
http://www.wikidata.org/entity/Q22085048,Kwiaty w wazonie,http://www.wikidata.org/entity/Q213096,muszla
http://www.wikidata.org/entity/Q22085048,Kwiaty w wazonie,http://www.wikidata.org/entity/Q15629245,jaszczurka
http://www.wikidata.org/entity/Q22085054,Gra w karty,http://www.wikidata.org/entity/Q467,kobieta
http://www.wikidata.org/entity/Q22085054,Gra w karty,http://www.wikidata.org/entity/Q8441,mężczyzna
http://www.wikidata.org/entity/Q22085054,Gra w karty,http://www.wikidata.org/entity/Q47883,karta do gry
http://www.wikidata.org/entity/Q22085054,Gra w karty,http://www.wikidata.org/entity/Q233861,notacja muzyczna
http://www.wikidata.org/entity/Q22085054,Gra w karty,http://www.wikidata.org/entity/Q840920,teorban
